ID,Split,Lesson_Topic,History,Expert_Human_Tutor,Peda_Strategies,LPD,BES,BERT
411065319,train,3.6D.Decomposing Figures,||| teacher: Sounds great. ||| teacher: Use the area formula to find the area of the current patio. ||| teacher: What is the area of the pink rectangle? ||| student: 4 m ||| ,"Hm, not quite",explain_concept,,,
423654459,train,3.5B.Word Problems with Division,||| teacher: Go ahead and give it a shot. ||| student: 7 ||| teacher: Good. How much mail does a photographer need? ||| student: 7 ||| ,"Great try! You actually found the number of envelopes, not how many photographs",provide_hint,,,
292812844,train,3.4B.Rounding Whole Numbers,||| teacher: There comes our first I Do Question. ||| teacher: Read the question carefully. ||| teacher: What number is in the hundreds place? ||| student: the 8 ||| ,"Remember the hundreds place is the third one over. So for 6791, 7 is the hundreds place",explain_concept,,,
257044842,train,5.4B.Solving with Order of Operations,"||| teacher: The value of 10+4 is 14. ||| teacher: Therefore, the final answer is 14. ||| teacher: Do you understand what I did? ||| student: yes ||| ","Ok, here is the next question. Please let me know if you have any questions",encourage_student,,,
292783943,train,5.2B.Comparing Decimal Numbers (Review) - 1,||| teacher: Sounds good. ||| teacher: This is our next question. ||| teacher: Would you like to give it a try? ||| student: 0.231 ||| ,Great try! Can you explain how you got your answer?,ask_question,,,
405558510,train,4.4A.Subtracting Multi-Digit Numbers,||| teacher: Here is the first question. ||| teacher: Read the question carefully. ||| teacher: What is the minuend of this problem? ||| student: one is in the thousad place the other one is in the ten thousand place ||| ,"Good job determining the place value. Now, let's line up the numbers vertically.",explain_concept,,,
2900622172,train,3.6B.Quadrilaterals (Review) - 1,||| teacher: Go ahead and give it a shot. ||| student: done ||| teacher: How could you check that your answer is correct? ||| student: 2 equal angles ||| ,"Ah, you're on the right track. A trapezoid could have 2 equal angles, but doesn't have to ",explain_concept,,,
289867027,train,4.2A.Place Value,"||| teacher: Since Marc had 90 hundreds blocks, we will write a number with 90 in the hundreds place. ||| teacher: Why can't we have a two-digit number in one place value? ||| teacher: Do you need any help to answer this question? ||| student: no ||| ","Ok, take your time",explain_concept,,,
407150153,train,3.4G.Properties of Multiplication,||| student: ok ||| student: B| ||| teacher: Is this your final answer? ||| student: A ||| ,"Hmm, not quite. It looks like we may have forgotten to carry the 1 when we multiplied the 2 and 6",provide_hint,,,
29287329,train,8.5G.Intro to Functions,"||| teacher: Look for a pattern on this part of the chart only to help us with this question. ||| teacher: Looking at only the top part of the chart, do you notice a pattern in your values? ||| teacher: Are you able to follow the steps? ||| student: 26 ||| ","Not quite, but can you find the repeating pattern?",ask_question,,,
289504924,train,4.5C.Perimeter,||| teacher: Perimeter refers to the boundary of a closed plane figure. ||| teacher: Or the perimeter is the distance around the object. ||| teacher: What is the question asking us to do? ||| student: so it would be 7 + 5 ||| ,You're close! That is the distance around the 2 sides. We want to find the distance around all 4.,provide_hint,,,
291635955,train,3.7C.Using Time,"||| teacher: Okay. ||| teacher: At 1255, the hour hand is very close to the 1 because it's almost 1'0 clock. ||| teacher: What time is it on the clock? ||| student: 11:01 ||| ",Let me draw on the whiteboard what 11:01 would look like,explain_concept,,,
616593216,train,3.7C.Using Time,||| teacher: Let me explain the steps on the board. ||| teacher: We should remember each section of the clock is worth 5 minutes. ||| teacher: Which number is the minute hand of the clock on? ||| student: 1:55 ||| ,"Great! The time is 1:55, but what is the number the minute hand is on?",ask_question,,,
292861198,train,7.4B.Identify Unit Rate,||| teacher: Good try. ||| student: 300? ||| teacher: Is that your answer? ||| student: ye ||| ,"Great try! If the train is moving 300 miles over 2 hours, how far each hour?",simplify_question,,,
428941522,train,3.4A.Adding Whole Numbers,||| student: now i can ||| teacher: Good! ||| teacher: what is addition? ||| student: - ||| ,"Oh, the - sign is actually subtraction. Addition is +",explain_concept,,,
429734378,train,4.7A.Measuring Angles,||| teacher: Read the given question carefully. ||| teacher: Are you working on the given question? ||| teacher: Are you there with me in the session? ||| student: yes ||| ,Great! Let's try to answer the question. What is the measurement of the red angle?,ask_question,,,
620681565,train,4.4A.Subtracting Multi-Digit Numbers,||| teacher: Keep up the good work. ||| student: is right ||| teacher: Is this your final answer? ||| student: yes ||| ,Great try! To subtract 45 from 95 you'll need to first subtract the ones place.,simplify_question,,,
613645884,train,4.5A.Geometric Lines,||| teacher: Plus one more point for your justification. ||| teacher: Go ahead and try to solve this next question. ||| teacher: Is that your final answer? ||| student: yes ||| ,"Hmm, not quite. We're asked to determine whether the lines are parallel, perpendicular, or neither.",explain_concept,,,
296390633,train,7.1C.Additive Inverses,||| teacher: Let's get back on track. ||| student: ok ||| teacher: Which point on the number line is located at -3 1/2? ||| student: b ||| ,"Great try! Negative numbers can be more difficult on the number line. -3 1/2 shoudl be between -3 and -4, not -2 and -3",explain_concept,,,
405371313,train,4.2C.Multiplicative Comparisons,||| teacher: Recheck your answer. ||| teacher: What are the factors in this problem? ||| teacher: How did you get 15? ||| student: by 5+5+5=15 or 5x3=15 ||| ,"Oh good job showing your work! However, we're looking for a factor of 20 for this question",provide_correction,,,
634824886,train,3.4A.Adding Whole Numbers,||| teacher: You can earn more points. ||| teacher:  ||| teacher: What is your final answer? ||| student: Done ||| ,"Great try! When we add two numbers, think about starting at the larger number and moving the smaller amount on a number line",provide_strategy,,,
292861632,train,6.8D.Areas by Decomposition,"||| teacher: Let's continue with the chat widow. ||| teacher: Here is our first question. ||| teacher: What is meant by ""area""? ||| student: 30ft ||| ",Great job - you seem to be a little ahead of where we are! What is the definition of area?,ask_question,,,
297925924,train,3.4B.Rounding Whole Numbers,||| student: the ten ||| teacher: Go ahead and show your work on the whiteboard. ||| teacher: What is the final answer? ||| student: 90..... ||| ,Great try! Let's not forget the hundreds place. When we round 894 to the tens we get..,provide_hint,,,
2980322125,train,5.4G.Understanding Volume,||| teacher: Here we need to find the volume of each cube. ||| student: ok ||| teacher: What is the unit for the volume? ||| student: i did it ||| ,What's your final answer?,ask_question,,,
294926168,train,4.2F.Comparing Decimals,||| teacher: Now it's time for you to prove you've mastered this topic! You will work on 3 problems in the Exit Ticket section and be able to earn 3 points for every question. ||| teacher: Give your best with this question. ||| teacher: Is that your final answer? ||| student: yes ||| ,"Hm, not quite. We want to compare which is bigger between 5.7 and 5.10",explain_concept,,,
413466564,train,5.3A.Multi-Digit Division with Two-Digit Divisors (Review) - 1,"||| teacher: Do you understand that step? ||| teacher: Next, we have to multiply 6 and 26. ||| teacher: What is the product of 26 and 6? ||| student: 4 ||| ","If we're multiplying 26 by 6, the result is going to have to be much bigger than 4. ",explain_concept,,,
294928358,train,3.3F.Understanding Equivalent Fractions,"||| student: ohhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh  now i get it ||| teacher: Based on these models, 1/4 = 2/8. ||| teacher: Do you understand what I did? ||| student: seeeeee ||| ",Great! Please give this a try. Which of the following fractions are equivalent to 3/6?,ask_question,,,
413854819,train,3.4D.Understanding Division,||| teacher: What are we asked to find in this question? ||| teacher: Very good! ||| teacher: What is your answer? ||| student: 14 ||| ,Oh you're close. This question is asking us how many sandwiches each kid gets. Did you use division to get your answer?,encourage_student,,,
289871980,train,4.2A.Place Value,"||| teacher: Now, write the place values on the whiteboard. ||| teacher: Good job! Plus 1 point. ||| teacher: How many thousands are there in 2000? ||| student: 1 ||| ","Hm, not quite. What I mean to say is, how many times can 1000 go into 2000?",simplify_question,,,
616653340,train,4.1G.Prime and Composite Numbers (Review) - 1,||| student: okay ||| student: 34 ||| teacher: 39 is a prime number or composite number? ||| student: prime ||| ,Prime numbers are only divisible by itself and 1. Is 3 divisible by 39?,ask_question,,,
295039135,train,6.4E.Concept of Ratios,||| student: yes ||| teacher: Sounds great! ||| teacher: Is that your final answer is 6? ||| student: yes ||| ,Great try! Remember that a ratio should be written as a fraction. In this case we want to write it as men/women,explain_concept,,,
291634242,train,4.2A.Place Value,"||| teacher: Let's move on to the next question. ||| teacher: In this question, we need to find out the value of seven in 37,984 ||| teacher: What is the value of 7? ||| student: 2,000? ||| ","Hmm, you're on the right track. It's in the thousands place. We can just say thousands, but it would be wrong to say 2,000",provide_correction,,,
289500427,train,3.6C.Concept of Area,"||| teacher: It does not have depth. ||| student: right ||| teacher: If Pablo wants to know how big the surface of his garden is, what should he measure? ||| student: the perimiter ||| ",Great try! Perimeter would measure the amount of fence he needs to fence in the garden. We want to measure the amount of space inside the garden.,provide_hint,,,
292882158,train,3.4D.Understanding Multiplication,||| teacher: Yes. ||| teacher: I have added a point for your answer. ||| teacher: What would be the value of 5 times 4? ||| student: 9? ||| ,That would be correct if we were trying to find 5 + 4,explain_concept,,,
410470380,train,5.3A.Multi-Digit Division with Two-Digit Divisors,||| teacher: Have a look at the whiteboard. ||| student: alright ||| teacher: How many times does 15 go into 45? ||| student: 1 ||| ,Great try! When 15 goes into 45 you want to see how many groups of 15 you can make from 45,provide_strategy,,,
294933549,train,4.2A.Place Value (Review) - 1,||| teacher: Here comes the next question. ||| teacher: Give your best with this question. ||| teacher: Is that number is visible now? ||| student: eight thousand ||| ,Can you show on the whiteboard your first step to get that answer?,ask_question,,,
296399925,train,6.8B.Areas of Triangles,||| teacher: A triangular bookend has a base of 5 inches and a height of 9 inches. ||| teacher: We need to find the area of the bookend. ||| teacher: What is the formula to find the area of a triangle? ||| student: 9x5 I think ||| ,"Ah, you're very close!",explain_concept,,,
40144116,train,4.3E.Dividing Using Equations,"||| teacher: Try to answer my question. ||| teacher: Okay, let me explain it to you. ||| teacher: What is the value of 5 times 2? ||| student: 5 ||| ",Great try! 5 times 1 is 5. What about 5 times 2?,provide_similar_problem,,,
289866660,train,5.2A.Place Value,"||| teacher: Notice that the exponent is 5 and there are 5 tens being multiplied. ||| teacher: So, we need to evaluate the value of the number. ||| teacher: What is the value of 10 x 10 x 10 x 10 x 10? ||| student: 210 ||| ",Let's recheck that answer using our calculator. I would like for you to put this problem in your calculator. What is your answer?,provide_strategy,,,
296362341,train,3.1G.Shapes and Area,||| teacher: Please have a look at the steps on the board. ||| student: okay ||| teacher: What is the value of 4 times 4? ||| student: 12 ||| ,So close! 4x3 is 12. So what would 4x4 be?,provide_similar_problem,,,
405621324,train,4.4A.Adding Multi-Digit Numbers,||| teacher: We will start in the one's place and add 6 and 9. ||| student: kk ||| teacher: What is the value of 6+9? ||| student: 13 ||| ,Can you double check your work? Count up 6 from 9,ask_question,,,
285052535,train,3.6C.Concept of Area,||| student: yes ||| teacher: Okay! ||| teacher: What should he measure? ||| student: the dimensional area ||| ,Correct! Do you remember how to do that?,ask_question,,,
423334058,train,4.9A.Converting Units of Measure,"||| student: no thank you ||| teacher: Okay, [STUDENT]. ||| teacher: How many seconds are in one minute? ||| student: 50 seconds ||| ",great try!,explain_concept,,,
616603045,train,5.6B.Using the Volume Formula,||| student: ok ||| teacher: The length is 7 units. ||| teacher: What is the volume formula? ||| student: the volume is 14 ||| ,"Hm, not quite. Could you tell me how you got 14?",ask_question,,,
2989417116,train,4.2A.Comparing Decimals,"||| teacher: Is that picture visible to you? ||| student: 16.00 ||| teacher: Is that your final answer,16.00? ||| student: uhh yes ||| ","If w < 16, what number could w be? There are several answers, you only need to provide one example.",provide_similar_problem,,,
295002644,train,5.3B.Word Problems with Standard Measurement,||| teacher: Try to figure it out. ||| teacher: Are you working on that question ||| teacher: ? ||| student: yes ||| ,Can you show your first step on the whiteboard?,ask_question,,,
292749031,train,4.5C.Perimeter,"||| teacher: First, we need to identify the given figure shape. ||| student: ok ||| teacher: Which shape is given in this question? ||| student: squre ||| ",You're on the right track! A square has all four congruent sides. Are all the sides of this shape congruent?,ask_question,,,
297959873,train,3.4B.Rounding Whole Numbers (Review) - 1,||| teacher: Read the question carefully once. ||| teacher: You have to rounding the number to the nearest hundred. ||| teacher: Which number is in the hundreds place? ||| student: 2671 ||| ,Great try! Let's start with the lowest place value. What number is in the ones place?,simplify_question,,,
405419363,train,4.3E.Dividing Using Equations,||| teacher: Go ahead and solve the question. ||| teacher: What is the answer? ||| teacher: Are you there? ||| student: yes ||| ,Let me help you out a bit. We have 16 apples and 4 kids. We need to figure out how many apples each kid gets if we were to divide the apples evenly,simplify_question,,,
614271245,train,5.1A.Multiplying Whole Numbers,"||| student: yay ||| teacher: Next, we have to find the value of 6 times 9 + 2. ||| teacher: What is the value of 6 times 9 + 2? ||| student: 99 ||| ",Can you explain your steps that got you that answer?,ask_question,,,
613729063,train,4.6A.Geometric Lines,||| student: yes ||| teacher: Good job! ||| teacher: What is the answer? ||| student: the right i faster the the left ||| ,Let's try again.,encourage_student,,,
638339915,train,3.4A.Adding Multi-Digit Numbers,"||| student: 13,116 ||| teacher: Well tried but there is a mistake there. ||| teacher: Do you understand your mistake now? ||| student: yes ||| ","Great, so what is the correct answer?",encourage_student,,,
295107727,train,3.6B.Quadrilaterals,||| teacher: Let me explain it to you. ||| teacher: Is the shape of the playground a square? ||| teacher: Are you there working on that question? ||| student: it could ||| ,"Remember that for it to be a square, it must have 4 sides of equal length and 4 right angles",explain_concept,,,
410911115,train,6.2D.Ordering Rational Numbers (Review) - 2,||| student: 3.4 ||| teacher: Give me a minute. ||| teacher: What is the value of 3 divided by 4? ||| student: 10 ||| ,"Good try! When you divide whole numbers, the number should get smaller because you are dividing it into groups. For example, 10 divided by 5 is 2 because you can make two groups of 5.",explain_concept,,,
413641398,train,5.2B.Comparing Decimal Numbers,||| teacher: Did you know the answer? ||| student: yes ||| teacher: What is your final answer? ||| student: 19.80 ||| ,"Ah, no not quite. This question is asking us to select the greatest decimal number out of all the options. ",ask_question,,,
298037313,train,5.7A.Metric Conversions and Word Problems (Review) - 1,||| student: ok ||| teacher: Let's get started. ||| teacher: What do you know about Metric Conversions? ||| student: 0.3 ||| ,Great try - let's talk about how we can convert from kilograms to grams.,simplify_question,,,
285615634,train,4.5A.Geometric Lines,||| teacher: Now we need to find the total number of right angles. ||| student: ok ||| teacher: What is the sum of 2+0+1+1? ||| student: 3 ||| ,Are you sure? Can you double-check your addition?,ask_question,,,
397868537,train,3.1G.Shapes and Area,||| teacher: The width of the line is 4 inches. ||| student:  ||| teacher: How many equal pieces is the brick split into? ||| student: 4 ||| ,"Ah, not quite. We want to focus on how many pieces the brick is cut into, not how long a side of the brick is",provide_correction,,,
61364399,train,4.4D.Multiplying Multi-Digit by One-Digit Numbers,||| student: there is two ||| student: i know all of the answers ||| teacher: Is this your final answer? ||| student: yes ||| ,Let's try another multiplication problem. What is 23 times 2?,provide_similar_problem,,,
292806733,train,2.9A.Measuring Length,"||| teacher: Yes correct . ||| teacher: The other end of the crayon is at 4, which means the other end of the crayon      is at 4 centimeters. ||| teacher: What is the value of                 4 centimeters  - 0 centimeters ? ||| student: 40 ||| ","Remember 0 cm represents no distance so if you have a length of 4 cm and take away 0 from it, what's left?",explain_concept,,,
294940025,train,5.2A.Place Value (Review) - 1,"||| teacher: In our previous session, we were working on ""Place Value"", we can continue working together on this lesson to help you master the topic! ||| student: Okay! ||| teacher: What is place value? ||| student: The regard that something is held to ||| ","Great try! What would place value mean in the number 3,271?",provide_similar_problem,,,
285005713,train,3.4A.Subtracting Whole Numbers,"||| teacher: In this question, we have to find the two in 2,453 different from the two in 204,530. ||| student: yes ||| teacher: What is the value of 2 in 2,453? ||| student: 223 ||| ",Great try! Let's think about place value.,provide_hint,,,
299011585,train,6.2E.Dividing Fractions,||| student: is that right? ||| student: im not sure ||| teacher: What is the product of 6 and 2? ||| student: 3 ||| ,"Great try! It looks like you divided 6 by 2. When we say ""product"" we mean to multiply.",provide_hint,,,
401412228,train,3.5B.Word Problems with Multiplication,"||| teacher: What is the product of 4 times of 1? ||| teacher: So, the final answer is 48. ||| teacher: Does the step make sense? ||| student: yes ||| ",Good! Let's try another problem.,provide_similar_problem,,,
296410939,train,2.9A.Measuring Length,||| teacher: So we can use the ruler to measure the length of it. ||| teacher: What is the unit marked at the top of the ruler? ||| teacher: Do you know the answer? ||| student: length ||| ,"Great try - you are correct that we will measure length! To do so, we will need to know the unit marked at the top of the ruler.",ask_question,,,
405560331,train,3.2B.Multiples of Ten,"||| student: ok ||| teacher: Try to figure it out, and I can help you along the way. ||| teacher: What is the final answer? ||| student: 90 ||| ",Good try! 90 is a multiple of 10. Can you provide another example of a number with a multiple of 10?,ask_question,,,
413466571,train,5.3A.Multi-Digit Division with Two-Digit Divisors (Review) - 1,||| teacher: We need to subtract. ||| student: ok ||| teacher: What is 163 - 156 = ? ||| student: 13 ||| ,Great try! It looks like you subtracted 153 from 166. Please try again!,provide_correction,,,
405563956,train,4.2E.Adding and Subtracting Mixed Numbers,||| teacher: Please let me know once you completed it. ||| teacher: You're really working hard today. ||| teacher: Did you get the final answer? ||| student: yea ||| ,"Ah, not quite. I like how we started by getting the denominator to be the same number",explain_concept,,,
2898670114,train,4.2A.Place Value,||| teacher: Give it your best shot. ||| student:  ||| teacher: Are you working on this question? ||| student: si ||| ,Which place value is the 9 in 925?,explain_concept,,,
292882190,train,3.4D.Understanding Multiplication,||| teacher: What would be the value of 4 times 6? ||| teacher: Please let me know if you need any help with. ||| teacher: Do you want me to explain this step? ||| student: if i haf 3 in 1 bag but  he  ole hav 4 bag ma be he cod hav      1 in het bag ||| ,Could you show me what you mean on the whiteboard?,ask_question,,,
425012728,train,5.7A.Word Problems with Standard Measurement (Review) - 1,||| teacher: Nice going! yazmin. ||| teacher: You are doing well! ||| teacher: How many yards did Jason sprint? ||| student: 81200 ||| ,Let's look at this problem again. We know Jason sprinted 6 ft. We also know our answer should be in yards. This means we should use conversion measurements.  How many feet are in a yard?,provide_hint,,,
410457559,train,5.3K.Multipying Mixed Numbers,"||| student: yes ||| teacher: The width will be 2, so we will need to equal parts across the other side. ||| teacher: What is your final answer? ||| student: its 1/2 ||| ","Hmm, not quite. We need to multiply top to top, bottom to bottom.",explain_concept,,,
290101923,train,4.6D.Classifying 2D Figures,"||| teacher: A quadrilateral is a shape with four sides. ||| teacher: Since both drawings are quadrilaterals, they both have four sides and four angles. ||| teacher: What is a rectangle? ||| student: done ||| ",A rectangle has two equal sides and two equal angles. That's the difference between rectangles and other quadrilaterals. ,explain_concept,,,
299011554,train,6.2E.Dividing Fractions,"||| teacher: Sounds good. ||| teacher: When dividing with fractions, the whole number must be changed into a fraction. ||| teacher: How can the problem be written changing 20 to a fraction? ||| student: 20 over 100 ||| ","Sorry, what I meant to say is that we need to change any mixed number into an improper fraction. Do you see how there's a 20 in front of the 2/5?",explain_concept,,,
423317167,train,4.9A.Converting Units of Measure,"||| teacher: I will help you solve this question. ||| teacher: One pound is equal to 16 ounces. ||| teacher: So, how many ounces are equal to 12 pounds? ||| student: 4 ||| ",Great try!,ask_question,,,
429629538,train,4.4A.Addition and Subtraction Word Problems,||| teacher: We need to subtract total windows from the windows washed by lucy and Kevin. ||| teacher: We need to subtract 24 from 15. ||| teacher: What is the value of 24-15? ||| student: 11 ||| ,Let's work through this together. We first subtract the ones place. Can you take 5 from 4?,ask_question,,,
296251747,train,4.2D.Rounding,"||| student: i need some help ||| teacher: Sure. i'm here to help you. ||| teacher: What is the place value of ten in 262,956? ||| student: six ||| ",Close! You gave the digit in the ones place. What would the tens place be?,provide_correction,,,
4273568173,train,6.4E.Understanding Percents;6.2C.Graphing Points on the Coordinate Plane,"||| teacher: What is the x-axis value? ||| teacher: Sorry, we are running out of time. ||| teacher: What is the final answer to this question? ||| student: -4     5 ||| ","Ah, we may have gotten our x and y coordinates mixed up",explain_concept,,,
290061247,train,4.4A.Adding Multi-Digit Numbers (Review) - 1,||| teacher: That's great! ||| teacher: Keep Going! ||| teacher: What is the answer? ||| student: 9050 ||| ,Can you show your work on the whiteboard?,ask_question,,,
429448289,train,5.7A.Standard Conversions,"||| teacher: When you add 1440 + 1440 + 1440, the answer is 4320. ||| teacher: You earned 1 point. ||| teacher: Do you understand the problem? ||| student: can i go ||| ","Yes, but remember, to get full credit, you must stay for the entire session.",explain_concept,,,
295112593,train,2.8A.2- and 3-Dimensional Shapes,||| teacher: What is your final answer? ||| student: a ||| teacher: Is that your final answer? ||| student: y ||| ,"Great try! a is a 2-dimensional shape, but the image is a 3 dimensional shape, because it has height.",explain_concept,,,
2895106109,train,4.5A.Geometric Lines,"||| teacher: Examples: triangles, rectangles and pentagons. ||| teacher: An obtuse angle is an angle that is more than 90 degrees. ||| teacher: What is the name of a 5 sided polygon? ||| student: a octogon ||| ",Great try! An octagon has 8 sides (I remember this by thinking about an octopus having 8 tentacles). The prefix for 5 is pent,provide_strategy,,,
