Split,Expert_Human_Tutor,Label
train,what happened there? I watched bits of Terminators movies but never a full one,0
train,"That's a great try! When we are multiplying, try to think of x groups of y and how many that would leave you. For example, 3 times 5 would be 3 groups of 5 or 5 groups of 3, which is 15. ",1
train,"I was working on a volunteer project to build a school and I traveled around a bit by myself after. It was more than 10 years ago, so it must have changed a lot.",0
train,Can you double check that? You can do 8 + 18 and see if you get 25.,1
train,"I'm actually a cake chef, so not far off! Creepy how good that guess was.... Are you psychic?",0
train,"Ok, the number at the top is how many participation points you have",1
train,"Haha I appreciate your faith, but their record thus far is hard to refute!",0
train,Correct! We need to find the average speed in miles per hour. ,1
train,Sounds intriguing! I love books that transport you to different places.,0
train,"Ah, yes they could be made out of wood. But more importantly, could you count how many there are? We're looking for a number.",1
train,Great! Good idea to help people figuring out their new year resolutions 🙂 So how do i get a fresher outlook? 🙂,0
train,Let's try again.,1
train,That is not correct. How many minutes are in one hour?,1
train,"So if the circle was a pizza, there would be 7 slices?",1
train,Great! Let's try another. What is 7 x 5?,1
train,Oh that is cool! What class? Are you working part time?,0
train,"Okay sounds good. Would you be able to pick me up by the way, if they don't finish up here in time? Did you drive to work today?",0
train,I wish! ramen is my favorite dish and Sapporo is a special beer,0
train,"Wow, cool! I think space tourism is going to be big in a decade or so.",0
train,It makes it easier to empathise with people who grew up lacking things. Not sure it makes me empathise with people in general. Where did you grow up?,0
train,Pretty good! Just got back from a short trip. How about you?,0
train,Hope you are having fun doing that 🙂 Any plans for the weekend?,0
train,Great job! Can you explain what a vertex is?,1
train,Great try - you're right that the number should get smaller! Try turning 0.001 into a fraction.,1
train,Absolutely! I love how they portray historical figures. It’s like a mini-history lesson with a twist.,0
train,I’ve been thinking a lot about travel. I really want to explore more places.,0
train,"I can help you solve this problem. What if you had 6 apples, how many groups of 4 could you make?  ",1
train,Good try! Can you show your first step on the whiteboard?,1
train,I could use some of that in my life! Any tips on getting started?,0
train,"Ah, not quite. Please take a look at this metric converter chart: https://i.etsystatic.com/29493720/r/il/3d8649/4369460039/il_794xN.4369460039_14ar.jpg",1
train,I think so. I feel there must be something more than the physical world as we understand it.,0
train,Very good!,1
train,"New York is the top of my list because my family lives there! As far as the city itself though... I think I'd prefer someplace outside of the US, like Tokyo. What about you?",0
train,"Ah, not quite. What is the length and the width of the top rectangle?",1
train,nice. that's football right?,0
train,Who said I want to be a pastry chef?... haha,0
train,Same feeling here! But i think the syllabus may not that tough. You may be able to cover it up over the weekend.,0
train,"Wow! That's interesting, borderline spooky",0
train,Great choices! Fresh herbs can elevate any dish. Do you have a favorite recipe using them?,0
train,Great try! It looks like you subtracted 153 from 166. Please try again!,1
train,Let's try that again.,1
train,"Here, take a look at this chart: https://smartclass4kids.com/wp-content/uploads/2020/11/Definition-1.jpg",1
train,"Hmm good question. Evening runs can be fun, but it can be a little scary when it's dark out!",0
train,I would recommend Hunan Impression which has very good Hunan cruisine. Not sure if you have tried it or not,0
train,Not really. The interactions are usually short-lived but it's fascinating to learn where people are coming from and what matters to them,0
train,"Oh no, that's something else. A right angle is an angle that is 90 degrees, like the corner of a square",1
train,That's a great try! When the minute hand is on the 11 remember to multiply it by 5!,1
train,"Great first try! 4 is the percent. The ""part"" is the portion of the whole we are looking for.",1
train,People always say to find a balance but never say what the balance is. It's used so often that it's vacuous.,0
train,"Great try! Let's try to think of this as an array. If you have 3 rows of 2 items each, how many total items would you have?",1
train,Are you sure you remembered to add all the sides when you found the perimeter?,1
train,Same! I guess the roller coaster wasn't so bad because I trust the engineering haha,0
train,"No, not quite. The 5 doesn't mean you count by 5. It means how many times the number to the left of it is multiplied by itself",1
train,Oh you're very close. We have 72 donuts and 6 kids who we're dividing the donuts among. Will each kid get at least 1 donut?,1
train,That isn't quite right - can you define what product means?,1
train,"Hmm, I think this question is asking about the individual sides of the playground.",1
train,yea. what do you plan to buy?,0
train,"Ah, that number is the x1. Remember the y value is how far up/down the coordinate is",1
train,same here! I hope the weather will be nice,0
train,"I just met someone who went diving in Australia. Apparently, you cannot fly 24 hrs after you dive, because your body accumulates too much <REDACTED_TERM> when breathing with a cylinder So, don't do that!",0
train,"Ah, no not quite. One trick you can do when adding hundreds is to ignore the zeros at the end when estimating and put them back later",1
train,We revamped our marketing strategy. It took a lot of teamwork but I think it’ll pay off.,0
train,how's week so far?,0
train,Great - I hope you have a wonderful night!,1
train,I am busy. A lot of work. What are you working on?,0
train,nice to meet you too! I'm James. how are you doing today?,0
train,"Buying a tree is a neat experience. I was torn between buying an artificial/eco-friendly/fake one vs. a real one that smells like fresh pine. In the end, we opted for the one that we can disassemble every year.",0
train,Great! The 5 is in the hundreds spot.,1
train,Oh that's cool! I actually went to an amusement park and went on my first roller coaster!,0
train,Oh you're close. This question is asking us how many sandwiches each kid gets. Did you use division to get your answer?,1
train,"Yeah, that's it. More precisely, they want us to write the expanded notation for 928",1
train,I love them!!!! I've had a couple of different kinds. They are all pretty expensive though. Have you tried them?,0
train,"Pretty well! I just finished a big project at work, so I’m feeling relieved.",0
train,Kind of I think,0
train,"Hmm, not quite. Our number is 142.5, and we want to round it to the nearest whole number. Do you know which number we need to look at when rounding to the nearest whole number?",1
train,Close! Let's separate it into 50 + 10 and 4 + 1. Could you tell me what 50 + 10 is?,1
train,Let's recheck that answer using our calculator. I would like for you to put this problem in your calculator. What is your answer?,1
train,"Great try! When we convert fractions to decimals we want to think about it as part of a whole. So, 1/2 is 0.5 because 0.5 is half of 1!",1
train,Hard to keep a count. Maybe 25.,0
train,Great! Please give the next problem a try,1
train,ziplining?,0
train,I think it was Australia,0
train,awesome! where have you been?,0
train,"Yes, but remember, to get full credit, you must stay for the entire session.",1
train,I am going to Diablo!,0
train,we're gonna play board games and will be eating lots of food! what about you?,0
train,True! they started with some basic zucchini based dish. We may try cooking some italian dish later this week.,0
train,"Great try, but not quite! In 2,453, 4 is in the hundreds spot. What about the 2?",1
train,"Ah, not quite. Could you let me know why you think this shape is a pentagon?",1
train,john mayer:)\,0
train,"Oh you're close. Is this a 2D shape, or 3D shape?",1
train,Great try! Let's not forget the hundreds place. When we round 894 to the tens we get..,1
train,"I’ve been doing well, just super busy with work.",0
train,"Ah, the 4 is the y-coordinate. We're not there yet.",1
train,"Ah, not quite. Remember that once you get the factors, the answer will be in the form (x+a)(x+b), where a and b are your two factors. x just stays as x",1
train,Just finished a book that I couldn’t put down!,0
train,Great try! 2 is actually in the ones place. The next place to the right is the tens place.,1
train,I'm a bit sad. I miss my cat.,0
train,"from a high enough distance, yes?",0
train,No worries. Was pulling your leg. I forgot to ask how your day was going?,0
train,"haha, that is not what I was getting at, but yes that would be nice. Do you believe in reincarnation?",0
train,"When we multiply a number times one, the answer is always that number. For example, 4 times 1 is 4",1
train,"Great try! Negative numbers can be more difficult on the number line. -3 1/2 shoudl be between -3 and -4, not -2 and -3",1
train,"Oh, it's not research! Just a personal theory. I think that flower preferences are more revealing of personality than people appreciate.",0
train,"haha ""You only live once"" as they say!",0
train,"You are close! If you look closely at the hour hand, did it reach the 1 yet?",1
train,That is not correct. Your first step is to compare the numbers. What are the numbers being compared?,1
train,Do you have interesting plans?,0
train,"Great try! What would place value mean in the number 3,271?",1
train,ah cool. so you like action movies?,0
train,I think I'm getting sick with a cold 😞 So you should chill on my behalf too cause I'm out the game for all of December.,0
train,"Just a few weeks, but I’m already getting the hang of a couple of chords. What about you? Any new hobbies?",0
train,largely scifi How about you?,0
train,"Haha, all the animal names confuse me as well! Who came up with these naming conventions? I'd name my team something more original: The New York Chairs!",0
train,Here's the easiest way,1
train,"No, not quite. The y-coordinate is the axis that goes up and down",1
train,"No, I haven’t! What’s special about it?",0
train,what does a fish groomer do?,0
train,Nice.... you are a rockstar! 😉,0
train,hahaha that's a great way to put it,0
train,Great try! When we add mixed numbers we want to convert to improper fractions. What is 3 1/2 as an improper fraction?,1
train,hours drive from here. still in bay area,0
train,"Ah not quite. You're very close though. The number you write is four-thousand and nine. If it has 4 digits before the decimals, then it would be a number in the thousands. How can we modify your answer so it's four hundred nine?",1
train,nice nice. I'm gonna go snorkeling yey,0
train,I was screaming in agony upon recounting my day.,0
train,"Hmm, not quite. Could you let me know why you think the shapes have rotational symmetry?",1
train,It's good it's good. How are you?,0
train,Yeah.... I play bit of guitar. Just got my first monitor this week,0
train,I love Hawaii. It's a good place to be. I like going there cause it's humid so I never have to put on lotion.,0
train,"Hm, not quite. Please take a look at the place value chart here: https://mathmonks.com/wp-content/uploads/2022/02/Place-Value-Chart.jpg",1
train,I have not. I have only been to Uganda in Africa.,0
train,what are you up to?,0
train,"Ah, not quite. Here, take a look at this chart : https://www.onlinemathlearning.com/image-files/lines-line-segments.png",1
train,"Great try! You are correct that none have 4 angles, but what shapes are we breaking the larger shape into?",1
train,It was incredible! I went to Japan for two weeks.,0
train,My friend used to tell me this and found it funny - Mosquitos have 47 teeths,0
train,Just looking to chat. Yourself?,0
train,"Hmm, not quite. It looks like we may have forgotten to carry the 1 when we multiplied the 2 and 6",1
train,I love Survivor 🙂,0
train,"No, not quite. What I mean to say is, what are some whole numbers that multiply to equal -8? For example, the factors of 10 would be 2 and 5 (because 2 x 5 = 10) and 1 and 10 (because 1 x 10 = 10)",1
train,Great try! But it looks like you made an arithmetic mistake.,1
train,"Ah, not quite. Here, take a look at this place value chart: https://www.shutterstock.com/image-vector/place-value-chart-blank-template-260nw-2023023992.jpg",1
train,ol can I pick the theme. Do you have a poet about Kale?,0
train,"yeah... I certainly prefer 1:1 as well, but sometimes it good to hear other peer perspective as well.",0
train,Does it make sense?,0
train,Get out of town! It's Avatar too. What are the odds!?,0
train,Great! Look at the number of sides to classify the shape.,1
train,"Oh you're close. Remember that when we borrow from the number on the left, we need to decrease it by 1.",1
train,"Hmm, not quite. Could you let me know where the 3 lines of symmetry are?",1
train,"Ah, you're close! 60 - 6 is 54",1
train,"Hm, well this question is asking us to draw a quadrilateral with 4 equal side lengths",1
train,I'm thinking of going deep sea fishing. Ever tried that before?,0
train,"If we're multiplying 26 by 6, the result is going to have to be much bigger than 4. ",1
train,"Ah, close. So the question is 10 - 5. The - in the question means subtraction, and subtraction just means taking away",1
train,"Great try! If the train is moving 300 miles over 2 hours, how far each hour?",1
train,Just thinking about my next vacation.,0
train,Whoa! Looking forward to listening to it. What softewares you use for it?,0
train,"No. Not this year. This is my half-marathon year. Instead of running marathons, I run one half-marathon every month.",0
train,ok great start. We only can do that when we know the two sides are equal.,1
train,"Yes the shape is a kite, where would you draw the line of symmetry to divide the shape?",1
train,"Oh, the - sign is actually subtraction. Addition is +",1
train,Great try! Can you define minuend?,1
train,"I would like for you to place these decimals in order from least to greatest. 1.2, 1.290, 1.26, 1.21.",1
train,"Yeah, a couple of my close friends. We had a blast! The atmosphere was electric.",0
train,arghhh hard question ... I only know Ramen places for Japanese food 🙂,0
train,"No, that's 12+2. 12 times 2 just means 12 x 2, or 12 + 12",1
train,oh cool! What sort of music do you compose?,0
train,"Ok no worries, let's meet again next time",1
train,I was watching cat rescue videos on YouTube a lot. There sure are a lot of stray cat babies that get stuck in pipes and gutters in South Korea.,0
train,Great try! When 15 goes into 45 you want to see how many groups of 15 you can make from 45,1
train,"Haha thank you, I guess I'm just a natural. What's your favourite game?",0
train,"Great try! You actually found the number of envelopes, not how many photographs",1
train,"Great try! She would have 1,200, but where is the tens place?",1
train,Great try! Can you define a quadrilateral?,1
train,"Cool. Step 2: talk with the person some more, and ask them some more questions, and gradually develop a sense of what they're like, over the course of maybe two to five years. And voila",0
train,Yes! I watched the first couple of seasons. It’s so fascinating. The acting is top-notch.,0
train,Have you had lunch yet?,0
train,Correct! How would we write 0.8 in standard form?,1
train,"Ah, I think you misunderstood. What I meant to say is, what two multiples of 100 is 179 between? For example, 479 is between 400 and 500",1
train,Yeah of course The fun fact is that the owner of <REDACTED_TERM> used to run <REDACTED_TERM>,0
train,Let's look at another example. A number that has 5 in the hundreds place and a 2 in the tens place could be 526.,1
train,"Ah, not quite. Think about it like this. If you have 125 dollars and I take away 85, will you really end up with more money than you started with?",1
train,"So, do you do treasure hunting often?",0
train,"I think you have the right idea. However, notice that the side of each cube has a length of 1 foot, but the big box that Gregg is putting the cube into has a side length of 3 yards",1
train,"If there isn't one, you should invent it, and then make millions",0
train,Great try! Let's try writing the number one hundred then counting the zeros.,1
train,Yes well done! Area is the 2D space inside something,1
train,I don't have any special plans. I will just stay at home with my family. How come you have to work on Christmas?,0
train,"Ah, no not quite. This question is asking us to select the greatest decimal number out of all the options. ",1
train,haha... you ate Turkeys' or you like calling your bunch Turkey?,0
train,neat. what are y'all eating?,0
train,"hahahaha, that's pretty funny. Ever thought of bringing your work things to the beach??",0
train,"What a good idea, I'd love to!",0
train,I’m hoping to take some time off in the spring. Maybe go hiking somewhere.,0
train,Ahh what city? I've visited India before.,0
train,Great try. What are the units for speed?,1
train,"Yes! I've been to Australia. It was very nice; I regret not going to see the southern lights. Me personally, I like winter. But I'd prefer it to be more brief than it actually is here... Where are you from originally?",0
train,"I'm great, thanks. I'm getting ready for a skydiving lesson.",0
train,Great - you are on the right track! Can you add 27 and 16?,1
train,I'm so sleepy today!,0
train,Great try! In order to determine the length of the segment you should look at the start and endpoint of the segment. Where does the segment start and end?,1
train,just chilling at home,0
train,Great try! To find that you'll want to divide 200 by 4,1
train,What is the correct answer?,1
train,"Good point. I am not sure about that. Let me inquire about that. If not, then we can look for an Airbnb closeby. Does that work?",0
train,You're on the right track! Can you be a little more specific? What type of polygon?,1
train,I am actually not much of a reader. I usually hide it by quoting john nash ~ reading books corrupts original thoughts 🙂,0
train,"We're looking to classify the angle as either acute, right, or obtuse. Do you know a right angle look like?",1
train,"That’s a tough choice! Pasta is always comforting, but sushi sounds delicious.",0
train,"Ah, not quite. Think about it like this. If you have 125 dollars and I take away 85, would you really have more money than when you started with?",1
train,Great try! Try using the prefixes to help you. Milli means thousand.,1
train,I’d be happy to share! Have you traveled to Asia before?,0
train,"Great try, but your answer is incorrect. The question asks you to describe a regular pentagon. Can you define what regular means?",1
train,Great! Could you try 96 ÷ 4 = ?,1
train,"no, i'm going to get a massage first",0
train,Can you show your work on the whiteboard?,1
train,I'm good. How are you doing today?,0
train,"Hmm, not quite. Don't forget to carry the 1",1
