ID,Split,Lesson_Topic,History,,Peda_Strategies,Label
294929823,train,5.4E.Simple Expression,||| student: 245 ||| teacher: Nice try! But your answer is incorrect! ||| teacher: What is the sum of 27 and 16? ||| student: 11664. ||| ,I would like you to work this problem again. Use should use your calculator to double check your work.,provide_strategy,1
2288757792,train,Not Available,"teacher: Hi! ||| student: Hello! ||| teacher: How was your party last week? ||| student: It was really fun! We are a bunch of turkey ||| teacher: haha... you ate Turkeys' or you like calling your bunch Turkey? ||| student: *ate 😂 ||| teacher: Haha... thought so! But it was funny eitherways ||| student: So much turkey leftovers ||| teacher: did you cook it at home, or got it from outside? ||| student: We cooked it at a friends house. I brought the mashed potatos haha","Nice... I always find it hard to fit the turkey in my small oven. Also, we are not big turkey fans... so we roll with Thanksgiving with chicken 😉",None,0
2900622172,train,3.6B.Quadrilaterals (Review) - 1,||| teacher: Go ahead and give it a shot. ||| student: done ||| teacher: How could you check that your answer is correct? ||| student: 2 equal angles ||| ,"Ah, you're on the right track. A trapezoid could have 2 equal angles, but doesn't have to ",explain_concept,1
414509655,train,5.2A.Place Value,"||| student: okay. ||| teacher: From the farthest right place value all the way up to the right of the 1, there are 4 jumps.  So, the exponent would be 10^4. ||| teacher: Did you get it? ||| student: yea kinda. ||| ",Ah ok. Which part are you having trouble with?,provide_correction,1
5175733574,test,Not Available,"teacher: Hi! ||| student: Hello, how are you doing today? ||| teacher: I heard they are giving out some goodies in microkitchen. ||| student: I love pop ups! What kind of goodies are they giving away? ||| teacher: I guess its a jacket! Very much needed that in the cold 🙂 ||| student: That's such a great idea, especially at this time of the year. I'm not too big a fan of the cold. I prefer warmer climates. Do you enjoy the cold?",Sure hate it! Limits our ability to go out even for a walk! Its good that we don't get to suffer extreme cold weather!,None,0
293973938,test,4.6B.Symmetry,||| student: i see that ||| teacher: Take a look at the figure 2. ||| teacher: How do we know that this is a line of symmetry? ||| student: the is a line the between the H ||| ,What would happen if you folded the shape along that line?,ask_question,1
5445709271,train,Not Available,teacher: Hi! ||| student: Hi there! ||| teacher: are you participating in the mentorship program this cycle? ||| student: You mean as a mentor or a mentee? ||| teacher: either of them... I find mentorship overall pretty useful ||| student: I have done it in the past but not this cycle. What about you?,I signed up this time to be a mentee. I have got a good mentor .,None,0
296365450,val,4.4E.Multiplication and Division Word Problems,"||| teacher: Now, let's move on to next question. ||| teacher: Please don't erase any content from the whiteboard. ||| teacher: Which operation do we need to perform to solve this question? ||| student: divieson ||| ",Why do you think it's division?,ask_question,1
3240506743,train,Not Available,"teacher: Hi! ||| student: Hey, how are you? ||| teacher: I'm good. How are you doing today? ||| student: Great, just had some delicious lunch. How about you? ||| teacher: I was flying my kite today in the sunshine! What did you have for lunch? ||| student: nice! Garbanzo fritters and mussels 🙂 ||| teacher: Oh that is great! I love seafood - especially shellfish! ||| student: yeah, it's very healthy too. I want to someday go crabbing..it is really popular in SF ||| teacher: Oh nice! Is it hard? ||| student: not really, it just requires a lot of patience. You fill up the bait in the crab-pot and drop it in the ocean. Then you wait for a couple of hours to pull the crab-pots out, and voila, you'd have crabs -- if you are lucky!","Oh wow, you sound like an expert! Have you done this before?",None,0
9527928752,train,Not Available,"teacher: Hi! ||| student: hey, what's up?",What do you think about human like chat bots?,None,0
5817629039,train,Not Available,"teacher: Hi! ||| student: Hey, how're you doing? Busy with your work? ||| teacher: Yes, actually it was a very busy day! How's your day so far? ||| student: Well, usual workday. Reading others' code, debugging, experimenting… ||| teacher: Hope you are having fun doing that 🙂 Any plans for the weekend? ||| student: Not yet. I am actually thinking about traveling to Europe next spring. What about you? ||| teacher: Europe sounds fun! I will just stay home and watch the game. Where in europe do you plan to visit? ||| student: I like all the historical sites, so probably France, Germany, or Italy.", Sounds great! I recommend spain. It's perfect for road trips.,None,0
1416371534,train,Not Available,teacher: Hi! ||| student: Hello,how's it going?!?,None,0
425012728,train,5.7A.Word Problems with Standard Measurement (Review) - 1,||| teacher: Nice going! yazmin. ||| teacher: You are doing well! ||| teacher: How many yards did Jason sprint? ||| student: 81200 ||| ,Let's look at this problem again. We know Jason sprinted 6 ft. We also know our answer should be in yards. This means we should use conversion measurements.  How many feet are in a yard?,provide_hint,1
2928525123,test,5.2B.Comparing Decimal Numbers,||| teacher: Please go ahead and start working on it. ||| student: 25.10 ||| teacher: Is that your final answer? ||| student: es ||| ,"Let's look at another example. If we compare 30.20 and 30.09, 30.2 is the larger number because it is 30 and 2/10 versus 30 and 9/100.",provide_example,1
6459473129,test,Not Available,"teacher: Hi! ||| student: Hi, how are you doing! ||| teacher: I'm doing well. what are you up to? ||| student: Yeah, typical work stuff. Check emails and 99% of the inbox. delete 99% ||| teacher: wow, that's impressive. I already gave up on cleaning emails long ago ||| student: lol doesn't it bother you at all","yea, a little bit, but it's okay 🙂 what do you enjoy doing outside work?",None,0
616503615,test,5.4G.Volume of Rectangular Prisms (Review) - 1,||| teacher: A rectangular prism can be defined as a 3-dimensional solid shape that has six faces that are rectangles. ||| teacher: Here's our first question. ||| teacher: What are we asked to find? ||| student: Finding the area ||| ,Oh you're close. Think back to what we talked about earlier. Is there a 3-dimensional word for area?,encourage_student,1
398186338,test,6.2E.Dividing Fractions Word Problems (Review) - 1,||| student: ok i got the answer ||| teacher: You have to divide this fraction using the long division method. ||| teacher: What is the value for 72 times 5? ||| student: 310 ||| ,"Oh you're very close. 62 times 5 = 310, but 72 times 5 is a little bigger",provide_correction,1
9495274662,train,Not Available,"teacher: Hi! ||| student: Hi there ||| teacher: How's your day going? ||| student: So far so good. It is Wednesday. To more days, yeah ||| teacher: Haha are you looking forward to the weekend? ||| student: Yeah, gonna watch <REDACTED_TERM> with my friends. First time. So excited. ||| teacher: Oh wow! Are you going to watch it live? Or watch it on TV? ||| student: Live in san jose This Saturday. ||| teacher: Oh, the sharks??? Hokey is actually really fun live! Although, it can be a little violent.. haha ||| student: Yeah! That what I heard as well. There are players just for fight! Wow, must be fun to watch lol Are you planning anything for the weekend? ||| teacher: You might like the UFC haha. I actually have a jiu jitsu tournament coming up so this weekend I will be training! ||| student: lol I will try if I can watch ufc live 😉 Wow, when did you start jiu jitsu? ||| teacher: It's just been a little over a year. I'm still pretty amateur, but I figured I should give competing a try and just put myself out there. ||| student: wow, that's amazing. Good luck with it! ||| teacher: Yeah, as long as I do not pass out, I will consider that a win! ||| student: lol I will cross my fingers for you then",Where do you stay?,None,0
9690903962,test,Not Available,"teacher: Hi! ||| student: Do you believe in miracles? ||| teacher: Lol. No. I know too many people whose lives suck. ||| student: Should we be helping them, so it sucks less?\","It's too many of them out there. You help who you can. Regardless, I wouldn't say I believe in miracles - well, if I got promoted next cycle I might change my mind.",None,0
7367558319,test,Not Available,teacher: Hi! ||| student: Hi!,How is your day going?,None,0
292754187,test,4.9A.Converting Units of Measure (Review) - 1,"||| student: sorry for the j that I tipe ||| teacher: Not an issue, Camila. ||| teacher: How many times 1000 will goes into 7000? ||| student: it cant ||| ","Oh, what makes you say that?",explain_concept,1
6772540142,val,Not Available,"teacher: Hi! ||| student: Hey ||| teacher: How's your day going? ||| student: pretty good. yours? ||| teacher: Ehh it's fine. I didn't do so well on that history test, actually.. ||| student: oh what happened? ||| teacher: Apparently Christopher Columbus didn't fight in the Civil War :') ||| student: hahah wait for real? ||| teacher: I know right! Are you taking History next semester? ||| student: No I'm not in school anymore",Oh I see. What do you do?,None,0
1527282089,test,Not Available,"teacher: Hi! ||| student: hey, what's up? ||| teacher: What do you think about human like chat bots? ||| student: I can't wait for them to be great conversationalists!","Yep, we seemed to have made some great progress over last few years. Do you think the positives outweigh the negatives",None,0
296351136,train,3.4H.Understanding Division,||| teacher: That is a very good start. ||| teacher: Nice going. ||| teacher: Is that your final answer? ||| student: yes ||| ,Great try! What does it mean if two people split evenly?,ask_question,1
1924497299,train,Not Available,"teacher: Hi! ||| student: Oh hello. Long time no talk. How's the day going for yuo? ||| teacher: Very well, thanks for asking. How has your day been? ||| student: Getting better. I just recovered from a cold. I got wet in the rain last week. Are you planning anything for the holidays? ||| teacher: Glad to hear you're better. Sorry to hear you were sick. I was sick a couple of weeks ago with a bad cough. There's definitely a bug going around. Admit I just want to stay healthy for the holidays and plan to relax. ||| student: Oh same here. I think relaxing at home should be counted among the best ways to enjoy the holidays. ||| teacher: Definitely! I know a lot of folks travel for the holidays, but I'm happy to stay home myself! ||| student: I'm getting there. Every year until last year, I tried to go somewhere for the Christmas / New Year, and then I got bored traveling. lol not sure if that means I'm getting old? ||| teacher: Me too. Now I have folks come visit me for the holidays! But that's also tiresome.. ||| student: Are you doing any home decorating then? ||| teacher: Yes! We set up an eco-friendly (i.e. fake) Christmas tree and put up some colorful LED lights which is very festive. ||| student: I think I'm copying you. Me and my wife plan to decorate and Christmas tree too. We bought most of the decorative stuffs from the stores, but haven't yet to buy the tree. ||| teacher: Buying a tree is a neat experience. I was torn between buying an artificial/eco-friendly/fake one vs. a real one that smells like fresh pine. In the end, we opted for the one that we can disassemble every year. ||| student: I see. Artificial anything is better, from tree to intelligence, huh? ||| teacher: Oh, very clever pun! I like it! Depends. I remember having real Christmas trees from childhood, but these days with climate change, I think not chopping down a tree just to decorate it and then throw it out in a month is the more responsible thing to do. ||| student: I see. It's probably also cheaper. I'll buy an artificial one too. Do you have any suggestions for the store?","Admit my favorite store is Target, plus they often have good deals.",None,0
425013163,test,3.5B.Two-Step Word Problems,||| student: ok ||| student: 22 ||| teacher: Would you need any help? ||| student: no it is 22 ||| ,"Hmm, not quite. We are looking for how many apples Anna and Bob have combined. Don't count any of the other fruits that they have. Only apples",provide_hint,1
632146313,test,5.5A.Graphing on a Coordinate Grid,||| student: chat window ||| teacher: Thanks for letting me know. ||| teacher: Is this your final answer? ||| student: yes maam ||| ,"What is the (x,y) pair you are graphing on the grid?",ask_question,1
5427604446,train,Not Available,teacher: Hi! ||| student: What's your name?,My name is pikachu. it’s nice to meet you! What are you up to this month?,None,0
297995043,test,3.4B.Rounding Whole Numbers,"||| teacher: Let us move to the next question. ||| student: ok ||| teacher: When rounding to the nearest 100, what numbers will be in the 10s and units digit positions? ||| student: 51 ||| ","That was a good try, but that answer is not correct. When we look at the number 329, the 2 is in the tens place and the 9 is in the ones place. Do you understand? ",provide_similar_problem,1
1389617825,train,Not Available,"teacher: Hi! ||| student: heya, nice to meet you, I'm Paul ||| teacher: nice to meet you too! I'm James. how are you doing today? ||| student: I'm doing OK. Looking forwards to the weekend. how about you? ||| teacher: same here! I hope the weather will be nice ||| student: oh yeah, but I don't have my hopes too high, I heard there could be a storm coming our way ||| teacher: oh no, which areas will be affected? ||| student: they mentioned that the whole city will experience harsh weather and that people in the outskirts will probably not get much rain and wind ||| teacher: uh oh, I'd better not to plan for BBQ then instead just enjoying playing board games inside 🙂 ||| student: yeah, it'll be good weather for staying inside with a cup of hot chocolate. Too bad my street usually floods, so I'll have to check for that ||| teacher: yea, you'd better check. where do you live? ||| student: I live at the bottom of the valley, cheap area but we do get affected by this kind of stuff a lot haha",gotcha. anything you love about where you live?,None,0
292861665,train,6.8D.Areas by Decomposition,"||| teacher: Finally, we need to add the areas of both rectangles. ||| teacher: Go ahead and try to find the answer. ||| teacher: What is the value of 36+42? ||| student: 1,512 ||| ",Great try - looks like you solved the problem 36 x 42.,provide_correction,1
2898670114,test,4.2A.Place Value,||| teacher: Give it your best shot. ||| student:  ||| teacher: Are you working on this question? ||| student: si ||| ,"Let's review place value. In the number 47298, what number is in the tens place?",provide_similar_problem,1
6351949468,train,Not Available,"teacher: Hi! ||| student: Hi there! How’s your day been? ||| teacher: Pretty good! Just got back from a coffee date with a friend. ||| student: Oh, that sounds fun! Where did you guys go? ||| teacher: We went to this cute little café downtown. They have the best pastries. ||| student: I love places like that! What kind of pastry did you get?","I had a croissant, and it was amazing. So buttery and flaky!",None,0
285615634,train,4.5A.Geometric Lines,||| teacher: Now we need to find the total number of right angles. ||| student: ok ||| teacher: What is the sum of 2+0+1+1? ||| student: 3 ||| ,Are you sure? Can you double-check your addition?,ask_question,1
614271245,val,5.1A.Multiplying Whole Numbers,"||| student: yay ||| teacher: Next, we have to find the value of 6 times 9 + 2. ||| teacher: What is the value of 6 times 9 + 2? ||| student: 99 ||| ",Great try! What was your first step?,ask_question,1
4734771589,test,Not Available,"teacher: Hi! ||| student: hello there, how is it going? ||| teacher: Pretty great. I just won a pingpong game. What about you? ||| student: that's nice. I am just working on some documentation. Do you play pingpong often? ||| teacher: No, very rarely. It's kind of amazing that I won, but I'm still taking credit for it. ||| student: thats very impressive then, congrats! ||| teacher: Haha thank you, I guess I'm just a natural. What's your favourite game? ||| student: I really like to play tennis, badminton and racquetball. I don't really get a chance to play them often though, specially racquetball ||| teacher: What's racquetball like? From context clues, I'm guessing that it involves hitting a ball with a racquet ||| student: well, it's like a cage match of tennis. The main difference is that both players play in the same 'court' and the ball is smashed against a wall instead of passing it over a net into the opponent's court. Kind of like playing pingpong vs the table.",Wow! A cage match! Does it get physical?,None,0
289500427,train,3.6C.Concept of Area,"||| teacher: It does not have depth. ||| student: right ||| teacher: If Pablo wants to know how big the surface of his garden is, what should he measure? ||| student: the perimiter ||| ","That would measure the distance around his garden, like if he wanted to build a fence. But what would measure the inside of his garden, where the plants would go?",explain_concept,1
5506521770,train,Not Available,teacher: Hi! ||| student: Hey! What are you up to today? ||| teacher: I’m just enjoying a lazy Sunday. How about you? ||| student: Same! I’ve been catching up on some shows. What are you watching lately? ||| teacher: I just finished “Bridgerton.” The drama is so addictive! ||| student: I love that show! The costumes and music are gorgeous. Who’s your favorite character?,I really like Penelope. Her story arc is so interesting!,None,0
295110958,train,2.9A.Measuring Length,"||| teacher: Let's get started with today's topic. ||| teacher: Today, we are going to discuss the topic ""Measuring Length."" ||| teacher: What is Measuring length? ||| student: how long it is ||| ",Well done! Measuring length is seeing how long something is.,affirm_correct_answer,1
295002644,train,5.3B.Word Problems with Standard Measurement,||| teacher: Try to figure it out. ||| teacher: Are you working on that question ||| teacher: ? ||| student: yes ||| ,Can you show your first step on the whiteboard?,ask_question,1
1746798961,val,Not Available,"teacher: Hi! ||| student: Hi! How was your vacation? ||| teacher: It was incredible! I went to Japan for two weeks. ||| student: Oh, that sounds amazing! What was the highlight of your trip? ||| teacher: Definitely visiting Kyoto. The temples and gardens were so peaceful. I felt like I was in another world. ||| student: I’ve always wanted to go there! Did you try any interesting food while you were there? ||| teacher: Absolutely. The sushi was incredible, but I also loved trying ramen and okonomiyaki. ||| student: I’m so jealous! Did you do any cultural experiences, like a tea ceremony or anything?","Yes, I went to a traditional tea house in Kyoto. It was such a unique experience. The way they prepare everything is so precise.",None,0
291628236,train,5.3C.Multi-Digit Division with Two-Digit Divisors (Review) - 2,"||| student: yes ||| teacher: So, we wan to start with the first 2 digits. ||| teacher: What is the value of 5 * 14? ||| student: 75 ||| ",Great try! When you multiply make sure you multiply the ones and then carry the tens!,explain_concept,1
730891483,train,Not Available,"teacher: Hi! ||| student: yo! what brought you here ||| teacher: Just looking to chat. Yourself? ||| student: yea I enjoy talking to people. what are you up to? ||| teacher: I am just enjoying a cigar at the moment. How about yourself? ||| student: oh wow, Cuban cigar? I've never smoke before","This one is actually from Peru, which is more my taste. Smoking isn't very healthy, but it's actually quite relaxing, which in a way is good for your health. haha",None,0
887214300,train,Not Available,teacher: Hi! ||| student: Hi 🙂 ||| teacher: I just came back from work. so tired ||| student: Oh I am sorry to hear! What did you work on? ||| teacher: I'm a lawyer. so talking to clients most of the day ||| student: Oh you are a lawyer. I've been so interested in this profession.,really? why?,None,0
292876261,test,3.4A.Adding Whole Numbers,||| teacher: Good going! ||| teacher: You are at the right track! ||| teacher: What is your question? ||| student: ez ||| ,Great try - can you state your question?,ask_question,1
7109732676,test,Not Available,"teacher: Hi! ||| student: Hi! How's your day going? ||| teacher: I'm doing well. having many meetings today 🙂 ||| student: Haha, nice ||| teacher: what are you up to? ||| student: Lots of meetings as well 🙂 Do you have any fun plans for Thanksgiving? ||| teacher: we're gonna play board games and will be eating lots of food! what about you? ||| student: Cool! Planning to spend a couple days at Tahoe What kind of board games do you like? ||| teacher: we've been doing Games of Thrones lately. the game takes a very long time to finish though! ||| student: Cool! Do you watch Game of Thrones?",I do. I'm a super fan of it (not the last season though haha). did you watch?,None,0
294895854,test,3.6B.Quadrilaterals,||| teacher: Let's get directed to the next question. ||| teacher: Give your best with this question. ||| teacher: Is that your final answer? ||| student: yes ||| ,A quadrilateral is a shape with four sides. A rectangle has four sides. Is it a quadrilateral? ,explain_concept,1
411065370,test,3.6D.Decomposing Figures,||| student: es 28 ||| teacher: Recheck your work once again. ||| teacher: Do you need any help with it? ||| student: 'es 37 ||| ,Let's work this problem together. The area formula is length times width. The length of the rectangle is 5 and the width is 3. What is the area?,provide_similar_problem,1
4521616782,val,Not Available,"teacher: Hi! ||| student: hello, who am I having the pleasure to chat with 🙂 ||| teacher: I am the superman! What about you? ||| student: haha. great chating with superman, what is your power?",Being invisible. You won't see me.,None,0
620681565,train,4.4A.Subtracting Multi-Digit Numbers,||| teacher: Keep up the good work. ||| student: is right ||| teacher: Is this your final answer? ||| student: yes ||| ,Great try! To subtract 45 from 95 you'll need to first subtract the ones place.,simplify_question,1
41117208,test,3.5D.Unknown Numbers in Division,||| student: ok ||| teacher: Product of quotient and divisor will get missing dividend. ||| teacher: Are you still at the computer? ||| student: no ||| ,Let's keep going! I'll show you an example,provide_example,1
289873318,test,3.4B.Rounding Whole Numbers,||| teacher: Well done. Plus 1 point for your work. ||| student: My name is Kiara ||| teacher: Did you notice that you just scored a point in the top right corner? ||| student: no ||| ,Ok great - in the corner you can see your points add up.,explain_concept,1
290101923,test,4.6D.Classifying 2D Figures,"||| teacher: A quadrilateral is a shape with four sides. ||| teacher: Since both drawings are quadrilaterals, they both have four sides and four angles. ||| teacher: What is a rectangle? ||| student: done ||| ",Great try - you should talk about the parallel sides.,provide_hint,1
4144916113,test,5.2C.Rounding Decimal Numbers,||| teacher: Give it your best shot! ||| student: did i get it right ||| teacher: What is your answer? ||| student: tenth in the first5 box and the next one is 0.4 ||| ,"Great! You are correct that we should round to the tenths place, but we would not round to 0.4.",explain_concept,1
5697401511,train,Not Available,"teacher: Hi! ||| student: Hi, how are you? ||| teacher: I'm doing great. what are you up to? ||| student: I was just reading a book actually How about you? ||| teacher: oh, I'm enjoying a sip of coffee, looking over the ocean. what book are you reading? ||| student: I'm reading Why We Sleep It's a book by a sleep scientist about the benefits of sleeping/cons of not sleeping enough I'm trying to scare myself into sleeping more haha ||| teacher: that seems like a good book. does it have good tips on how to sleep better? ||| student: I think so! I haven't finished it yet though Understanding sleep better has been helping me value it more and I've been sleeping a lot earlier Have you read any good books recently? ||| teacher: I read lots of papers, but do poorly on books 😞 a recent book that I like is Zero to One by Peter Thiel ||| student: What's the book about? ||| teacher: it's about startups, lots of useful principles and philosophies for innovation, like being a contrarian ||| student: Cool! Are you thinking about starting a startup? ||| teacher: I might in the future. the philosophy in the book also help for other things as well, e.g., in research, you might also want to be contrarian ||| student: I see; seems like an interesting read! 🙂 ||| teacher: yup! ||| student: Hi! How are you doing today? ||| teacher: I'm doing great how are you?? ||| student: I'm doing good. Just having some morning tea ||| teacher: are you a tea person or do you like coffee too? ||| student: I'm really a hot chocolate person. I don't drink coffee and I only drink tea when I'm trying to be healthy and want something warm to drink. What about you? ||| teacher: I love hot chocolate. Have you ever had european style hot chocolate? It's kind of like drinking melted chocolate bars haha ||| student: I recently tried it for the first time and you're right - it had a wonderful melted chocolate bar taste! I tried it up in a place in San Francisco and they had delicious homemade marshmallows too!",that's great. It's so cold these nights. Right setting for hot coco. Do you have anything you enjoy doing during cold times?,None,0
289871980,train,4.2A.Place Value,"||| teacher: Now, write the place values on the whiteboard. ||| teacher: Good job! Plus 1 point. ||| teacher: How many thousands are there in 2000? ||| student: 1 ||| ","Hm, not quite. What I mean to say is, how many times can 1000 go into 2000?",simplify_question,1
401284444,train,4.9A.Converting Units of Measure,"||| teacher: Sorry for the typo. ||| student: i did ||| teacher: With that in mind, would you like to try it again? ||| student: no ||| ","Ok, great. Would you like to end the session?",ask_question,1
296410939,train,2.9A.Measuring Length,||| teacher: So we can use the ruler to measure the length of it. ||| teacher: What is the unit marked at the top of the ruler? ||| teacher: Do you know the answer? ||| student: length ||| ,"Great try - you are correct that we will measure length! To do so, we will need to know the unit marked at the top of the ruler.",ask_question,1
29489325,train,2.8A.2- and 3-Dimensional Shapes (Review) - 1,"||| teacher: Today, we will work on the topic ""2- and 3- Dimensional Shapes."" ||| teacher: Here is our first question. ||| teacher: Would you like me to enable a one-way audio feature so that you could talk with the tutor directly? ||| student: polygon ||| ",Great try! Can you explain why you said polygon as your answer?,ask_question,1
1527282089,train,Not Available,"teacher: Hi! ||| student: hey, what's up? ||| teacher: What do you think about human like chat bots? ||| student: I can't wait for them to be great conversationalists!","Yep, we seemed to have made some great progress over last few years. Do you think the positives outweigh the negatives",None,0
1549414463,train,Not Available,"teacher: Hi! ||| student: hi ||| teacher: what are you up to? ||| student: code refactoring. you? ||| teacher: me? just chilling out at work. what is code refactoring? ||| student: good question. I don't even know what I am doing ||| teacher: haha, forget it. what else do you like to do beside work? ||| student: lots of fun stuff. eating sleeping 🙂 ||| teacher: these are important things to do in life 😉 ||| student: yeah. keep minimalist life style only do things you have to do 🙂",what food do you like to eat?,None,0
178346128,test,Not Available,"teacher: Hi! ||| student: yo! what brought you here ||| teacher: Just looking to chat. Yourself? ||| student: yea I enjoy talking to people. what are you up to? ||| teacher: I am just enjoying a cigar at the moment. How about yourself? ||| student: oh wow, Cuban cigar? I've never smoke before ||| teacher: This one is actually from Peru, which is more my taste. Smoking isn't very healthy, but it's actually quite relaxing, which in a way is good for your health. haha ||| student: you made me wanna try it but I doubt about the health part haha ||| teacher: haha ""You only live once"" as they say! ||| student: yea I wish we can live more ||| teacher: haha, that is not what I was getting at, but yes that would be nice. Do you believe in reincarnation? ||| student: yea but then you will forget things. I hope Neural Link work out",Do you think Neural Link will allow you to live after death? I thought it was just a brain-computer interface.,None,0
616590295,train,3.5B.Two-Step Word Problems (Review) - 1,||| teacher: Which answer choice is between 9 and 15? ||| student: 7 ||| teacher: Is that your final answer? ||| student: yes ||| ,"Hmm, not quite. We're looking for a number that's bigger than 9 and also smaller than 15.",provide_correction,1
3443911596,test,Not Available,teacher: Hi! ||| student: Hello!,How was your party last week?,None,0
9438331941,test,Not Available,teacher: Hi! ||| student: Hello there!,How's your day going?,None,0
